NAMESPACE              LAST SEEN           TYPE      REASON                  OBJECT                                           MESSAGE
Cannot connect to '/run/netdata/netdata.pipe'.
Make sure the netdata service is running.
default                12m                 Warning   Unhealthy               Pod/netdata-child-94jd2                          Liveness probe failed: uv_pipe_connect(): no such file or directory
Cannot connect to '/run/netdata/netdata.pipe'.
Make sure the netdata service is running.
default                   4m20s (x16 over 28m)   Warning   Unhealthy               Pod/netdata-k8s-state-7d6df6d887-c8h9d                  Liveness probe failed: command timed out: "/usr/sbin/netdatacli ping" timed out after 1s
default                   4m20s (x16 over 28m)   Warning   Unhealthy               Pod/netdata-parent-867c7fb8df-v5h89                     Liveness probe failed: command timed out: "/usr/sbin/netdatacli ping" timed out after 1s
preprod-laia-25-03-2026   3m53s                  Normal    ScalingReplicaSet       Deployment/ecommerce-laia-25-03-2026                    Scaled up replica set ecommerce-laia-25-03-2026-6c9fbc9f56 from 3 to 4
preprod-laia-25-03-2026   3m53s                  Normal    SuccessfulRescale       HorizontalPodAutoscaler/hpa-ecommerce-laia-25-03-2026   New size: 4; reason: cpu resource utilization (percentage of request) above target
preprod-laia-25-03-2026   3m52s                  Normal    SuccessfulCreate        ReplicaSet/ecommerce-laia-25-03-2026-6c9fbc9f56         Created pod: ecommerce-laia-25-03-2026-6c9fbc9f56-857pz
preprod-laia-25-03-2026   3m50s                  Normal    Scheduled               Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-857pz          Successfully assigned preprod-laia-25-03-2026/ecommerce-laia-25-03-2026-6c9fbc9f56-857pz to minikube
preprod-laia-25-03-2026   3m38s                  Normal    Pulling                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-857pz          Pulling image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest"
preprod-laia-25-03-2026   3m34s                  Normal    Pulled                  Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-857pz          Successfully pulled image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest" in 6.731s (6.731s including waiting). Image size: 1437704278 bytes.
preprod-laia-25-03-2026   3m31s                  Normal    Created                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-857pz          Container created
preprod-laia-25-03-2026   3m29s                  Normal    Started                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-857pz          Container started
default                   3m16s                  Normal    Pulled                  Pod/netdata-k8s-state-7d6df6d887-c8h9d                  Successfully pulled image "netdata/netdata:v2.9.0" in 3.648s (3.648s including waiting). Image size: 1182500567 bytes.
default                   3m14s                  Normal    Pulled                  Pod/netdata-parent-867c7fb8df-v5h89                     Successfully pulled image "netdata/netdata:v2.9.0" in 1.756s (1.756s including waiting). Image size: 1182500567 bytes.
preprod-laia-25-03-2026   2m57s                  Normal    SuccessfulCreate        ReplicaSet/ecommerce-laia-25-03-2026-6c9fbc9f56         Created pod: ecommerce-laia-25-03-2026-6c9fbc9f56-ghgt8
preprod-laia-25-03-2026   2m57s                  Normal    SuccessfulRescale       HorizontalPodAutoscaler/hpa-ecommerce-laia-25-03-2026   New size: 8; reason: cpu resource utilization (percentage of request) above target
preprod-laia-25-03-2026   2m57s                  Normal    SuccessfulCreate        ReplicaSet/ecommerce-laia-25-03-2026-6c9fbc9f56         Created pod: ecommerce-laia-25-03-2026-6c9fbc9f56-vdsch
preprod-laia-25-03-2026   2m57s                  Normal    Scheduled               Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-f6hwz          Successfully assigned preprod-laia-25-03-2026/ecommerce-laia-25-03-2026-6c9fbc9f56-f6hwz to minikube
preprod-laia-25-03-2026   2m57s                  Normal    Scheduled               Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-vdsch          Successfully assigned preprod-laia-25-03-2026/ecommerce-laia-25-03-2026-6c9fbc9f56-vdsch to minikube
preprod-laia-25-03-2026   2m57s                  Normal    SuccessfulCreate        ReplicaSet/ecommerce-laia-25-03-2026-6c9fbc9f56         Created pod: ecommerce-laia-25-03-2026-6c9fbc9f56-f6hwz
preprod-laia-25-03-2026   2m57s                  Normal    ScalingReplicaSet       Deployment/ecommerce-laia-25-03-2026                    Scaled up replica set ecommerce-laia-25-03-2026-6c9fbc9f56 from 4 to 8
preprod-laia-25-03-2026   2m56s                  Normal    Scheduled               Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-ghgt8          Successfully assigned preprod-laia-25-03-2026/ecommerce-laia-25-03-2026-6c9fbc9f56-ghgt8 to minikube
preprod-laia-25-03-2026   2m56s                  Normal    Scheduled               Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-qwvts          Successfully assigned preprod-laia-25-03-2026/ecommerce-laia-25-03-2026-6c9fbc9f56-qwvts to minikube
preprod-laia-25-03-2026   2m56s                  Normal    SuccessfulCreate        ReplicaSet/ecommerce-laia-25-03-2026-6c9fbc9f56         Created pod: ecommerce-laia-25-03-2026-6c9fbc9f56-qwvts
preprod-laia-25-03-2026   2m52s                  Normal    Pulling                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-ghgt8          Pulling image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest"
preprod-laia-25-03-2026   2m51s                  Normal    Pulling                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-vdsch          Pulling image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest"
